Year,Acousticness,Danceability,Energy,Liveness,Loudness,Speechiness,Valence,Popularity
1999,0.266732985,0.580913425,0.639825541,0.21039705,0.864056413,0.097403196,0.548669525,0.5100931507
2000,0.284982332,0.586854033,0.623939497,0.20137081,0.862186582,0.092152596,0.551617962,0.4974035281
2001,0.272591466,0.583233802,0.637831404,0.184939824,0.86614604,0.090046286,0.543061799,0.5245638717
2002,0.272529764,0.573596485,0.655226328,0.197945288,0.876193015,0.085273262,0.539066107,0.522589803
2003,0.248439343,0.572458873,0.664595239,0.196507775,0.876722745,0.092662592,0.527677052,0.5194028169
2004,0.268746442,0.571959108,0.660552298,0.204155989,0.878126441,0.097546571,0.526836692,0.5258036739
2005,0.24999069,0.569656602,0.660617861,0.189366764,0.877891803,0.094826541,0.519267247,0.526227169
2006,0.261491197,0.565399383,0.657407775,0.186544357,0.881425139,0.086352242,0.511737668,0.5399215247
2007,0.246571457,0.559994567,0.670059398,0.196085699,0.883416649,0.0849894,0.503973964,0.5321805792
2008,0.242093283,0.582032095,0.671847401,0.200981533,0.885465657,0.079313362,0.522264914,0.5356057143
2009,0.252065048,0.559793761,0.672510149,0.203902032,0.884185621,0.089330328,0.498435511,0.5417687464
2010,0.233151783,0.576227116,0.690860418,0.202763114,0.887221154,0.087059637,0.519256534,0.5607426304
2011,0.240308504,0.557293154,0.670258999,0.20319906,0.879760216,0.090737851,0.475436119,0.5604764513
2012,0.241261502,0.568225193,0.667433071,0.195265668,0.881790265,0.083640338,0.470984421,0.5959412097
2013,0.244160112,0.577359377,0.654610373,0.197710223,0.879272536,0.098176168,0.463668557,0.593012959
2014,0.236827321,0.588443353,0.654758176,0.190715862,0.883969057,0.085428681,0.461814981,0.5975362319
2015,0.248562561,0.592131378,0.632650368,0.187547363,0.880819431,0.096824731,0.443591304,0.6172497309
2016,0.282362375,0.598960944,0.590893604,0.179596112,0.866488507,0.107426716,0.429834441,0.6348973144
2017,0.290590741,0.609468852,0.586218093,0.195201604,0.85855524,0.111808299,0.412143132,0.674880333
2018,0.27396841,0.665125296,0.588107887,0.171316949,0.878134877,0.129190902,0.446473955,0.6961151452
2019,0.291170215,0.642025552,0.576301838,0.167087563,0.864415646,0.125494077,0.464324487,0.72.56696196
2020,0.251370052,0.673614672,0.6068343,0.175894072,0.877492826,0.144612349,0.481138488,0.7134648258
